Ulasan,Rate,Label,case_folding,token,Normalisasi,Stopwords,Stemmer
"seller response oke, pengiriman oke dan barang bagus",5.0,positif,seller response oke  pengiriman oke dan barang bagus,"['seller', 'response', 'oke', 'pengiriman', 'oke', 'dan', 'barang', 'bagus']","['seller', 'response', 'oke', 'pengiriman', 'oke', 'dan', 'barang', 'bagus']","['seller', 'response', 'pengiriman', 'barang', 'bagus']","['seller', 'response', 'kirim', 'barang', 'bagus']"
mantul barangnya sesuai deskripsi,5.0,positif,mantul barangnya sesuai deskripsi,"['mantul', 'barangnya', 'sesuai', 'deskripsi']","['mantap betul', 'barangnya', 'sesuai', 'deskripsi']","['mantap betul', 'barangnya', 'sesuai', 'deskripsi']","['mantap betul', 'barang', 'sesuai', 'deskripsi']"
"jgn diragukan lagi belanja di toko ini. pokoknya top markotop, thanks Boz, sukses selalu",5.0,positif,jgn diragukan lagi belanja di toko ini  pokoknya top markotop  thanks boz  sukses selalu,"['jgn', 'diragukan', 'lagi', 'belanja', 'di', 'toko', 'ini', 'pokoknya', 'top', 'markotop', 'thanks', 'boz', 'sukses', 'selalu']","['jangan', 'diragukan', 'lagi', 'belanja', 'di', 'toko', 'ini', 'pokoknya', 'top', 'markotop', 'terima kasih', 'boz', 'sukses', 'selalu']","['diragukan', 'belanja', 'toko', 'pokoknya', 'top', 'markotop', 'terima kasih', 'sukses']","['ragu', 'belanja', 'toko', 'pokok', 'top', 'markotop', 'terima kasih', 'sukses']"
ori segel repack berfingsi packing aman respon n kirim cepat,5.0,positif,ori segel repack berfingsi packing aman respon n kirim cepat,"['ori', 'segel', 'repack', 'berfingsi', 'packing', 'aman', 'respon', 'n', 'kirim', 'cepat']","['ori', 'segel', 'repack', 'berfungsi', 'packing', 'aman', 'respon', 'dan', 'kirim', 'cepat']","['ori', 'segel', 'repack', 'berfungsi', 'packing', 'aman', 'respon', 'kirim', 'cepat']","['ori', 'segel', 'repack', 'fungsi', 'packing', 'aman', 'respon', 'kirim', 'cepat']"
Alhamdulilah sesuai,5.0,positif,alhamdulilah sesuai,"['alhamdulilah', 'sesuai']","['alhamdulilah', 'sesuai']","['alhamdulilah', 'sesuai']","['alhamdulilah', 'sesuai']"
Barangnya original 👍 Ada garansi resmi Warna sesuai pesanan Berfungsi dengan baik Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penjualnya top rekomen bangett kalau mau cari hp beli di sinii ajaa👍🔥🔥😍,5.0,positif,barangnya original   ada garansi resmi warna sesuai pesanan berfungsi dengan baik penjualnya ramah banget proses pesanan cepat packaging aman   packaging rapi respon penjualnya top rekomen bangett kalau mau cari hp beli di sinii ajaa    ,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top', 'rekomen', 'bangett', 'kalau', 'mau', 'cari', 'hp', 'beli', 'di', 'sinii', 'ajaa']","['barangnya', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top', 'rekomen', 'bangett', 'kalau', 'mau', 'cari', 'hp', 'beli', 'di', 'sinii', 'ajaa']","['barangnya', 'original', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'berfungsi', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top', 'rekomen', 'bangett', 'cari', 'hp', 'beli', 'sinii', 'ajaa']","['barang', 'original', 'garansi', 'resmi', 'warna', 'sesuai', 'pesan', 'fungsi', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'jual', 'top', 'rekomen', 'bangett', 'cari', 'hp', 'beli', 'sini', 'ajaa']"
"Barangnya original 👍 plastik luar tersegel, tapi stiker hitam segel yg bagian samping kotaknya ko udah kebuka yah. emang kaya gitu apa ngak si? ada si video unboxingnya juga. tp pas di buka hp nya kumpit Warna sesuai pesanan",5.0,positif,barangnya original   plastik luar tersegel  tapi stiker hitam segel yg bagian samping kotaknya ko udah kebuka yah  emang kaya gitu apa ngak si  ada si video unboxingnya juga  tp pas di buka hp nya kumpit warna sesuai pesanan,"['barangnya', 'original', 'plastik', 'luar', 'tersegel', 'tapi', 'stiker', 'hitam', 'segel', 'yg', 'bagian', 'samping', 'kotaknya', 'ko', 'udah', 'kebuka', 'yah', 'emang', 'kaya', 'gitu', 'apa', 'ngak', 'si', 'ada', 'si', 'video', 'unboxingnya', 'juga', 'tp', 'pas', 'di', 'buka', 'hp', 'nya', 'kumpit', 'warna', 'sesuai', 'pesanan']","['barangnya', 'original', 'plastik', 'luar', 'tersegel', 'tetapi', 'stiker', 'hitam', 'segel', 'yang', 'bagian', 'samping', 'kotaknya', 'ko', 'sudah', 'kebuka', 'yah', 'emang', 'kaya', 'begitu', 'apa', 'ngak', 'si', 'ada', 'si', 'video', 'unboxingnya', 'juga', 'tetapi', 'pas', 'di', 'buka', 'hp', 'nya', 'kumpit', 'warna', 'sesuai', 'pesanan']","['barangnya', 'original', 'plastik', 'tersegel', 'stiker', 'hitam', 'segel', 'samping', 'kotaknya', 'kebuka', 'emang', 'kaya', 'ngak', 'video', 'unboxingnya', 'pas', 'buka', 'hp', 'kumpit', 'warna', 'sesuai', 'pesanan']","['barang', 'original', 'plastik', 'segel', 'stiker', 'hitam', 'segel', 'samping', 'kotak', 'buka', 'emang', 'kaya', 'ngak', 'video', 'unboxingnya', 'pas', 'buka', 'hp', 'kumpit', 'warna', 'sesuai', 'pesan']"
barangnya sesuai dengan gambar pengiriman nya juga cepat pokoknya best banget dah,5.0,positif,barangnya sesuai dengan gambar pengiriman nya juga cepat pokoknya best banget dah,"['barangnya', 'sesuai', 'dengan', 'gambar', 'pengiriman', 'nya', 'juga', 'cepat', 'pokoknya', 'best', 'banget', 'dah']","['barangnya', 'sesuai', 'dengan', 'gambar', 'pengiriman', 'nya', 'juga', 'cepat', 'pokoknya', 'best', 'banget', 'dah']","['barangnya', 'sesuai', 'gambar', 'pengiriman', 'cepat', 'pokoknya', 'best', 'banget']","['barang', 'sesuai', 'gambar', 'kirim', 'cepat', 'pokok', 'best', 'banget']"
mantap...barang yg di pesan sesuai..terimakasih,5.0,positif,mantap   barang yg di pesan sesuai  terimakasih,"['mantap', 'barang', 'yg', 'di', 'pesan', 'sesuai', 'terimakasih']","['mantap', 'barang', 'yang', 'di', 'pesan', 'sesuai', 'terima kasih']","['mantap', 'barang', 'pesan', 'sesuai', 'terima kasih']","['mantap', 'barang', 'pesan', 'sesuai', 'terima kasih']"
pembelian ke-3,5.0,positif,pembelian ke  ,"['pembelian', 'ke']","['pembelian', 'ke']",['pembelian'],['beli']
